Township Name,Sale Date,Sale Price,Land Square Feet,Age,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Central Air Conditioning,Fireplaces,Attic Type,Full Baths,Half Baths,Design Plan,Cathedral Ceiling,Garage Size,Garage 1 Material,Building Square Feet,Use,Type of Residence,Tract Median Income,Land Acre,Sale Year,Sale Month
North Chicago,1/2/2018,1165,3125,33,Masonry,Shingle + Asphalt,8,3,Crawl,Unfinished,Warm Air Furnace,Central A/C,2,None,3,1,Stock Plan,No,2,Masonry,3.54,Single-Family,3 Story +,132.222,0.071740129,2018,1
North Chicago,1/3/2018,480,1167,21,Masonry,Shingle + Asphalt,5,2,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,No,1,Masonry,1.422,Single-Family,3 Story +,99.44,0.026790634,2018,1
North Chicago,1/4/2018,920,2845,23,Masonry,Shingle + Asphalt,7,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,2,1,Stock Plan,No,2,Frame,2.228,Single-Family,2 Story,36.927,0.065312213,2018,1
North Chicago,1/4/2018,1587.5,2800,12,Masonry,Tar + Gravel,8,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,No,2,Masonry,2.78,Single-Family,3 Story +,148.616,0.064279155,2018,1
North Chicago,1/5/2018,2675,2952,21,Masonry,Shingle + Asphalt,9,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,4,1,Stock Plan,No,2,Masonry,4.228,Single-Family,3 Story +,142.583,0.067768595,2018,1
North Chicago,1/9/2018,430,983,47,Masonry,Tar + Gravel,3,1,Crawl,Unfinished,Warm Air Furnace,Central A/C,1,None,1,0,Stock Plan,No,0,,0.936,Single-Family,2 Story,162.054,0.022566575,2018,1
North Chicago,1/12/2018,600,1465,34,Masonry,Tar + Gravel,5,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,3,0,Architect,,1,Masonry,1.606,Single-Family,3 Story +,141.806,0.033631772,2018,1
North Chicago,1/13/2018,1225,2020,29,Masonry,Tar + Gravel,8,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,3,None,3,1,Stock Plan,,2,Masonry,2.446,Single-Family,3 Story +,148.616,0.046372819,2018,1
North Chicago,1/17/2018,385,1266,48,Masonry,Tar + Gravel,5,2,Crawl,Unfinished,Warm Air Furnace,Central A/C,0,None,1,0,Stock Plan,No,0,,1.092,Single-Family,2 Story,112.788,0.029063361,2018,1
North Chicago,1/18/2018,1290,2550,3,Masonry,Tar + Gravel,10,5,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,4,1,Stock Plan,No,2,Masonry,4.95,Single-Family,3 Story +,122.479,0.058539945,2018,1
North Chicago,1/19/2018,450,924,49,Masonry,Tar + Gravel,4,2,Crawl,Unfinished,Warm Air Furnace,Central A/C,1,None,1,0,Stock Plan,,0,,0.864,Single-Family,2 Story,132.222,0.021212121,2018,1
North Chicago,1/20/2018,2500,3000,18,Masonry,Tar + Gravel,13,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,4,None,4,2,Stock Plan,No,2,Masonry,3.348,Single-Family,3 Story +,148.616,0.068870523,2018,1
North Chicago,1/20/2018,3100,3125,9,Masonry,Tar + Gravel,8,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,4,2,Stock Plan,No,2.5,Masonry,3.628,Single-Family,3 Story +,148.616,0.071740129,2018,1
North Chicago,1/21/2018,620,911,23,Masonry,Shingle + Asphalt,5,2,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,1,Masonry,1.771,Single-Family,3 Story +,148.616,0.020913682,2018,1
North Chicago,1/21/2018,1200,1602,17,Masonry,Tar + Gravel,6,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,2.72,Single-Family,3 Story +,158.375,0.03677686,2018,1
North Chicago,1/22/2018,940,1523,17,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,No,2,Masonry,2.993,Single-Family,3 Story +,122.479,0.034963269,2018,1
North Chicago,1/22/2018,1700,2928,14,Masonry,Tar + Gravel,12,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,3,None,5,1,Stock Plan,No,2,Masonry,3.788,Single-Family,3 Story +,36.927,0.067217631,2018,1
North Chicago,1/24/2018,626.4,938,49,Masonry,Tar + Gravel,6,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,Yes,0,,1.438,Single-Family,2 Story,112.788,0.021533517,2018,1
North Chicago,1/29/2018,810,1507,17,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,No,2,Masonry,2.993,Single-Family,3 Story +,122.479,0.03459596,2018,1
North Chicago,1/30/2018,1737,2722,26,Masonry,Shingle + Asphalt,7,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,0,None,2,1,Stock Plan,No,2,Masonry,2.92,Single-Family,2 Story,132.222,0.062488522,2018,1
North Chicago,1/31/2018,765,1617,6,Masonry,Tar + Gravel,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,2,1,Stock Plan,No,2,Masonry,2.134,Single-Family,2 Story,58.542,0.037121212,2018,1
North Chicago,1/31/2018,1118.5,1330,33,Masonry,Shingle + Asphalt,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,,1.5,Masonry,2.532,Single-Family,3 Story +,83.806,0.030532599,2018,1
North Chicago,2/5/2018,1390,3125,25,Masonry,Tar + Gravel,8,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,4,1,Stock Plan,No,2,Frame,3.609,Single-Family,3 Story +,132.222,0.071740129,2018,2
North Chicago,2/6/2018,2550,3125,17,Masonry,Tar + Gravel,9,5,Partial,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,4,1,Stock Plan,No,2,Masonry,3.248,Single-Family,2 Story,119.432,0.071740129,2018,2
North Chicago,2/14/2018,412.5,696,49,Masonry,Tar + Gravel,4,2,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,1,1,Stock Plan,No,0,,0.861,Single-Family,2 Story,142.583,0.015977961,2018,2
North Chicago,2/15/2018,667.5,2295,35,Masonry,Shingle + Asphalt,6,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,Partial,2,1,Stock Plan,No,1,Frame,1.502,Single-Family,2 Story,141.806,0.05268595,2018,2
North Chicago,2/16/2018,875,1769,21,Masonry,Shingle + Asphalt,5,2,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,No,0,,1.44,Single-Family,2 Story,122.479,0.040610652,2018,2
North Chicago,3/9/2018,669,1107,46,Masonry,Tar + Gravel,6,2,Full,Unfinished,Warm Air Furnace,No Central A/C,1,None,2,0,Stock Plan,,0,,1.584,Single-Family,2 Story,138.934,0.025413223,2018,3
North Chicago,3/9/2018,3705,3720,6,Masonry,Other,9,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,4,3,Stock Plan,No,2.5,Masonry,4.287,Single-Family,3 Story +,119.432,0.085399449,2018,3
North Chicago,3/16/2018,800,1323,33,Masonry,Tar + Gravel,6,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,3,0,Stock Plan,No,1,Masonry,1.644,Single-Family,2 Story,132.222,0.030371901,2018,3
North Chicago,3/22/2018,624,1494,21,Masonry,Shingle + Asphalt,6,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,1,Masonry,2.22,Single-Family,3 Story +,99.44,0.034297521,2018,3
North Chicago,3/22/2018,1410,3125,3,Masonry,Tar + Gravel,11,6,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,5,2,Stock Plan,No,2.5,Masonry,3.864,Single-Family,3 Story +,148.616,0.071740129,2018,3
North Chicago,3/23/2018,1710,2577,30,Masonry,Tar + Gravel,12,6,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,4,1,Stock Plan,Yes,2,Frame,3.999,Single-Family,3 Story +,141.806,0.05915978,2018,3
North Chicago,3/26/2018,945,1365,26,Masonry,Shingle + Asphalt,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,3,0,Stock Plan,,2,Masonry,2.206,Single-Family,3 Story +,122.479,0.031336088,2018,3
North Chicago,3/27/2018,605,654,23,Masonry,Tar + Gravel,6,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,1,Masonry,1.921,Single-Family,3 Story +,36.927,0.015013774,2018,3
North Chicago,4/2/2018,475,822,27,Masonry,Shingle + Asphalt,6,3,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,2,1,Stock Plan,No,1,Masonry,1.24,Single-Family,2 Story,132.222,0.018870523,2018,4
North Chicago,4/3/2018,900,1210,33,Masonry,Shingle + Asphalt,6,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,,1.5,Masonry,2.349,Single-Family,3 Story +,83.806,0.027777778,2018,4
North Chicago,4/3/2018,1450,2856,3,Masonry,Tar + Gravel,9,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,3,1,Stock Plan,No,2,Masonry,4.557,Single-Family,3 Story +,142.583,0.065564738,2018,4
